Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,68587.000000,70081.000000,68587.000000,70045.000000,70045.000000,1655400
2010-01-05,70046.000000,70595.000000,69928.000000,70240.000000,70240.000000,1984200
2010-01-06,70237.000000,70937.000000,70016.000000,70729.000000,70729.000000,2243600
2010-01-07,70723.000000,70723.000000,70045.000000,70451.000000,70451.000000,1555000
2010-01-08,70455.000000,70766.000000,70158.000000,70263.000000,70263.000000,1634400
2010-01-11,70267.000000,71068.000000,70158.000000,70433.000000,70433.000000,1569000
2010-01-12,70429.000000,70429.000000,69284.000000,70076.000000,70076.000000,1628600
2010-01-13,70081.000000,70626.000000,69535.000000,70385.000000,70385.000000,1818800
2010-01-14,70377.000000,70508.000000,69661.000000,69801.000000,69801.000000,1830200
2010-01-15,69780.000000,69788.000000,68695.000000,68978.000000,68978.000000,1648400
2010-01-18,68983.000000,69748.000000,68983.000000,69401.000000,69401.000000,1139000
2010-01-19,69396.000000,70036.000000,68867.000000,69909.000000,69909.000000,1323400
2010-01-20,69901.000000,69901.000000,67546.000000,68200.000000,68200.000000,1990600
2010-01-21,68200.000000,68458.000000,65996.000000,66270.000000,66270.000000,2263800
2010-01-22,66264.000000,66660.000000,65445.000000,66220.000000,66220.000000,1305000
2010-01-26,66213.000000,66213.000000,64719.000000,65524.000000,65524.000000,1990400
2010-01-27,65527.000000,65663.000000,64553.000000,65070.000000,65070.000000,1813600
2010-01-28,65071.000000,66049.000000,64541.000000,65588.000000,65588.000000,1649400
2010-01-29,65591.000000,66576.000000,65140.000000,65402.000000,65402.000000,1823200
2010-02-01,65402.000000,66763.000000,65362.000000,66572.000000,66572.000000,1494400
2010-02-02,66589.000000,67321.000000,66539.000000,67163.000000,67163.000000,1587800
2010-02-03,67163.000000,67347.000000,66774.000000,67109.000000,67109.000000,1765000
2010-02-04,67100.000000,67100.000000,63750.000000,63934.000000,63934.000000,2262400
2010-02-05,63934.000000,64001.000000,61341.000000,62763.000000,62763.000000,3053000
2010-02-08,62760.000000,63923.000000,62728.000000,63153.000000,63153.000000,1875600
2010-02-09,63164.000000,65526.000000,63164.000000,64718.000000,64718.000000,1357400
2010-02-10,64721.000000,65170.000000,64320.000000,65051.000000,65051.000000,891000
2010-02-11,65050.000000,66145.000000,64344.000000,66129.000000,66129.000000,1259000
2010-02-12,66129.000000,66133.000000,65123.000000,65855.000000,65855.000000,873200
2010-02-17,65863.000000,67542.000000,65863.000000,67285.000000,67285.000000,0
2010-02-18,67285.000000,67836.000000,66550.000000,67836.000000,67836.000000,1286600
2010-02-19,67811.000000,67935.000000,67210.000000,67597.000000,67597.000000,1248000
2010-02-22,67598.000000,68120.000000,67035.000000,67184.000000,67184.000000,1401600
2010-02-23,67179.000000,67179.000000,65660.000000,66108.000000,66108.000000,1644800
2010-02-24,66110.000000,66514.000000,65534.000000,65795.000000,65795.000000,1573000
2010-02-25,65765.000000,66325.000000,64429.000000,66121.000000,66121.000000,1792200
2010-02-26,66118.000000,66510.000000,65607.000000,66503.000000,66503.000000,1731400
2010-03-01,66511.000000,67397.000000,66511.000000,67228.000000,67228.000000,1363000
2010-03-02,67228.000000,68250.000000,67228.000000,67779.000000,67779.000000,1708600
2010-03-03,67780.000000,68813.000000,67482.000000,67641.000000,67641.000000,2113800
2010-03-04,67643.000000,68198.000000,66924.000000,67815.000000,67815.000000,1398600
2010-03-05,67823.000000,68930.000000,67823.000000,68847.000000,68847.000000,1950600
2010-03-08,68851.000000,69070.000000,68318.000000,68575.000000,68575.000000,1428200
2010-03-09,68573.000000,70144.000000,68255.000000,69576.000000,69576.000000,2464200
2010-03-10,69578.000000,70476.000000,69578.000000,69979.000000,69979.000000,1909200
2010-03-11,69981.000000,70183.000000,69411.000000,69885.000000,69885.000000,1627200
2010-03-12,69901.000000,70486.000000,69341.000000,69341.000000,69341.000000,1569000
2010-03-15,69340.000000,69384.000000,68623.000000,69024.000000,69024.000000,1453000
2010-03-16,69023.000000,69949.000000,69022.000000,69942.000000,69942.000000,1302400
2010-03-17,69945.000000,70424.000000,69376.000000,69723.000000,69723.000000,1372000
2010-03-18,69726.000000,70128.000000,68972.000000,69697.000000,69697.000000,1656200
2010-03-19,69701.000000,69998.000000,68773.000000,68829.000000,68829.000000,1957400
2010-03-22,68814.000000,69121.000000,67899.000000,69042.000000,69042.000000,1395200
2010-03-23,69049.000000,69613.000000,68913.000000,69387.000000,69387.000000,1606600
2010-03-24,69382.000000,69677.000000,68744.000000,68913.000000,68913.000000,1597400
2010-03-25,68916.000000,69572.000000,68377.000000,68442.000000,68442.000000,1478400
